Degree,Cos Value
0,1.0
1,0.9998476951563913
2,0.9993908270190958
3,0.9986295347545738
4,0.9975640502598242
5,0.9961946980917455
6,0.9945218953682733
7,0.992546151641322
8,0.9902680687415704
9,0.9876883405951378
10,0.984807753012208
11,0.981627183447664
12,0.9781476007338057
13,0.9743700647852352
14,0.9702957262759965
15,0.9659258262890683
16,0.9612616959383189
17,0.9563047559630354
18,0.9510565162951535
19,0.9455185755993168
20,0.9396926207859084
21,0.9335804264972017
22,0.9271838545667874
23,0.9205048534524404
24,0.9135454576426009
25,0.9063077870366499
26,0.898794046299167
27,0.8910065241883679
28,0.882947592858927
29,0.8746197071393957
30,0.8660254037844387
31,0.8571673007021123
32,0.848048096156426
33,0.838670567945424
34,0.8290375725550416
35,0.8191520442889918
36,0.8090169943749475
37,0.7986355100472928
38,0.7880107536067219
39,0.7771459614569709
40,0.766044443118978
41,0.754709580222772
42,0.7431448254773942
43,0.7313537016191705
44,0.7193398003386512
45,0.7071067811865476
46,0.6946583704589973
47,0.6819983600624985
48,0.6691306063588582
49,0.6560590289905073
50,0.6427876096865394
51,0.6293203910498375
52,0.6156614753256583
53,0.6018150231520484
54,0.5877852522924731
55,0.5735764363510462
56,0.5591929034707468
57,0.5446390350150271
58,0.5299192642332049
59,0.5150380749100542
60,0.5000000000000001
61,0.4848096202463371
62,0.46947156278589086
63,0.4539904997395468
64,0.43837114678907746
65,0.42261826174069944
66,0.4067366430758002
67,0.3907311284892737
68,0.37460659341591196
69,0.3583679495453004
70,0.3420201433256688
71,0.32556815445715676
72,0.30901699437494745
73,0.29237170472273677
74,0.27563735581699916
75,0.25881904510252074
76,0.24192189559966767
77,0.22495105434386492
78,0.20791169081775945
79,0.19080899537654492
80,0.17364817766693041
81,0.15643446504023092
82,0.13917310096006547
83,0.12186934340514749
84,0.10452846326765346
85,0.08715574274765814
86,0.06975647374412523
87,0.052335956242943966
88,0.03489949670250108
89,0.0174524064372836
90,6.123233995736766e-17
91,-0.017452406437283477
92,-0.034899496702500955
93,-0.05233595624294384
94,-0.06975647374412533
95,-0.08715574274765824
96,-0.10452846326765355
97,-0.12186934340514737
98,-0.13917310096006535
99,-0.1564344650402308
100,-0.1736481776669303
101,-0.1908089953765448
102,-0.20791169081775934
103,-0.22495105434386503
104,-0.24192189559966779
105,-0.25881904510252085
106,-0.27563735581699905
107,-0.29237170472273666
108,-0.30901699437494734
109,-0.32556815445715664
110,-0.3420201433256687
111,-0.35836794954530027
112,-0.37460659341591207
113,-0.39073112848927377
114,-0.40673664307580026
115,-0.42261826174069933
116,-0.4383711467890775
117,-0.4539904997395467
118,-0.4694715627858909
119,-0.484809620246337
120,-0.4999999999999998
121,-0.5150380749100543
122,-0.5299192642332048
123,-0.5446390350150271
124,-0.5591929034707467
125,-0.5735764363510462
126,-0.587785252292473
127,-0.6018150231520484
128,-0.6156614753256583
129,-0.6293203910498373
130,-0.6427876096865394
131,-0.6560590289905072
132,-0.6691306063588582
133,-0.6819983600624984
134,-0.6946583704589974
135,-0.7071067811865475
136,-0.7193398003386512
137,-0.7313537016191705
138,-0.743144825477394
139,-0.754709580222772
140,-0.7660444431189779
141,-0.7771459614569709
142,-0.7880107536067219
143,-0.7986355100472929
144,-0.8090169943749473
145,-0.8191520442889919
146,-0.8290375725550416
147,-0.8386705679454239
148,-0.848048096156426
149,-0.8571673007021122
150,-0.8660254037844387
151,-0.8746197071393957
152,-0.882947592858927
153,-0.8910065241883678
154,-0.898794046299167
155,-0.9063077870366499
156,-0.9135454576426008
157,-0.9205048534524404
158,-0.9271838545667873
159,-0.9335804264972017
160,-0.9396926207859083
161,-0.9455185755993168
162,-0.9510565162951535
163,-0.9563047559630355
164,-0.9612616959383189
165,-0.9659258262890682
166,-0.9702957262759965
167,-0.9743700647852351
168,-0.9781476007338057
169,-0.981627183447664
170,-0.984807753012208
171,-0.9876883405951377
172,-0.9902680687415704
173,-0.992546151641322
174,-0.9945218953682733
175,-0.9961946980917455
176,-0.9975640502598242
177,-0.9986295347545738
178,-0.9993908270190958
179,-0.9998476951563913
180,-1.0
181,-0.9998476951563913
182,-0.9993908270190958
183,-0.9986295347545738
184,-0.9975640502598242
185,-0.9961946980917455
186,-0.9945218953682733
187,-0.9925461516413221
188,-0.9902680687415703
189,-0.9876883405951378
190,-0.984807753012208
191,-0.981627183447664
192,-0.9781476007338056
193,-0.9743700647852352
194,-0.9702957262759965
195,-0.9659258262890683
196,-0.9612616959383189
197,-0.9563047559630354
198,-0.9510565162951536
199,-0.9455185755993167
200,-0.9396926207859084
201,-0.9335804264972017
202,-0.9271838545667874
203,-0.9205048534524404
204,-0.9135454576426009
205,-0.90630778703665
206,-0.8987940462991669
207,-0.8910065241883679
208,-0.8829475928589269
209,-0.8746197071393959
210,-0.8660254037844386
211,-0.8571673007021123
212,-0.8480480961564261
213,-0.838670567945424
214,-0.8290375725550418
215,-0.8191520442889918
216,-0.8090169943749476
217,-0.7986355100472928
218,-0.788010753606722
219,-0.7771459614569708
220,-0.766044443118978
221,-0.7547095802227721
222,-0.7431448254773942
223,-0.7313537016191706
224,-0.7193398003386511
225,-0.7071067811865477
226,-0.6946583704589973
227,-0.6819983600624986
228,-0.6691306063588581
229,-0.6560590289905073
230,-0.6427876096865395
231,-0.6293203910498378
232,-0.6156614753256581
233,-0.6018150231520483
234,-0.5877852522924732
235,-0.5735764363510464
236,-0.5591929034707466
237,-0.544639035015027
238,-0.529919264233205
239,-0.5150380749100545
240,-0.5000000000000004
241,-0.48480962024633684
242,-0.46947156278589075
243,-0.4539904997395469
244,-0.43837114678907774
245,-0.42261826174069916
246,-0.4067366430758001
247,-0.3907311284892738
248,-0.3746065934159123
249,-0.3583679495453007
250,-0.34202014332566855
251,-0.32556815445715664
252,-0.30901699437494756
253,-0.2923717047227371
254,-0.2756373558169989
255,-0.25881904510252063
256,-0.24192189559966779
257,-0.22495105434386525
258,-0.2079116908177598
259,-0.1908089953765446
260,-0.17364817766693033
261,-0.15643446504023104
262,-0.13917310096006583
263,-0.12186934340514717
264,-0.10452846326765336
265,-0.08715574274765825
266,-0.06975647374412558
267,-0.052335956242944306
268,-0.03489949670250076
269,-0.017452406437283498
270,-1.8369701987210297e-16
271,0.01745240643728313
272,0.03489949670250128
273,0.052335956242943946
274,0.06975647374412522
275,0.08715574274765789
276,0.10452846326765299
277,0.12186934340514768
278,0.13917310096006547
279,0.15643446504023067
280,0.17364817766692997
281,0.1908089953765451
282,0.20791169081775943
283,0.22495105434386492
284,0.24192189559966745
285,0.2588190451025203
286,0.2756373558169994
287,0.2923717047227367
288,0.30901699437494723
289,0.3255681544571563
290,0.342020143325669
291,0.3583679495453004
292,0.37460659341591196
293,0.3907311284892735
294,0.40673664307579976
295,0.4226182617406996
296,0.4383711467890774
297,0.45399049973954664
298,0.4694715627858904
299,0.4848096202463373
300,0.5000000000000001
301,0.5150380749100542
302,0.5299192642332047
303,0.5446390350150266
304,0.559192903470747
305,0.573576436351046
306,0.5877852522924729
307,0.6018150231520479
308,0.6156614753256585
309,0.6293203910498375
310,0.6427876096865393
311,0.656059028990507
312,0.6691306063588578
313,0.6819983600624986
314,0.6946583704589973
315,0.7071067811865474
316,0.7193398003386509
317,0.7313537016191707
318,0.7431448254773942
319,0.7547095802227719
320,0.7660444431189778
321,0.7771459614569706
322,0.788010753606722
323,0.7986355100472928
324,0.8090169943749473
325,0.8191520442889916
326,0.8290375725550418
327,0.838670567945424
328,0.848048096156426
329,0.8571673007021121
330,0.8660254037844384
331,0.8746197071393959
332,0.8829475928589269
333,0.8910065241883678
334,0.8987940462991668
335,0.90630778703665
336,0.913545457642601
337,0.9205048534524403
338,0.9271838545667873
339,0.9335804264972015
340,0.9396926207859084
341,0.9455185755993168
342,0.9510565162951535
343,0.9563047559630353
344,0.9612616959383189
345,0.9659258262890683
346,0.9702957262759965
347,0.9743700647852351
348,0.9781476007338056
349,0.981627183447664
350,0.984807753012208
351,0.9876883405951377
352,0.9902680687415703
353,0.9925461516413221
354,0.9945218953682733
355,0.9961946980917455
356,0.9975640502598242
